NAMA DESA,NAMA KABUPATEN,profil_desa
wirun ,Purworejo,"Alur Sungai Bedono Kesenian jaranan, dolalak, Wayang Kulit, seni sungging wayang  kerajinan sangkar burung  Kripik belut kerajinan sangkar burung,  jaranan, dolalak, Wayang Kulit sentra kerajinan sovenir yang Mengahasilkan kerajinan berupa souvenir alat-alat peraga pendidikan berbahan dasar kayu dan bambu"
Kaligono,Purworejo,"Curug Siklothok, Bukit Wukir Kencono, Taman Sidandang makam Kyai Ngabei (Sayid Syarifudin) di Dusun Ngabeyan, Tempat bertapa Simbah Caranggesing (Putra dari Pangeran Majapahit), serta Makam Nyai Talakbroto adik dari Simbah Caranggesing  Ndewan gula aren (Pembuatan gula aren), Perah susu kambing ras Ettawa Kaligesing, Pembuatan wingko kelapa muda  manggis atau durian kaligono  Tari Dolalak,  Jaran Kepang, Tari Incling, Ketoprak Mataram,  Wayang Wong, Soyar Maole dan Hadroh  Desa Kaligono kaya akan wisata religi, wisata alam, wisata budaya dan kesenian. Desa Kaligono memiliki kekayaan hasil bumi yang melimpah"
Somongari,Purworejo," Curug Langit Jolenan  wisata agro berupa petik buah manggis Jolenan   Reog Cimpoling, Incling (kuda lumping), Ndolalak (tarian khas Purworejo), Grup Rebana dan Sholawatan Desa wisata tempat kelahiran WR Supratman . desa berbasis wisata budaya, kuliner, alam dan budaya terletak di     kawasan perbukitan Menoreh "
Tlogoguwo,Purworejo,"Goa Anjani, Curug anjani, Hutan Pinus  Kolam Renang Pegunungan Budidaya Kambing Ettawa ras Kaligesing   Karamel susu, Susu kambing  Tarian Ndolalak dan Tarian Kudalumping Desa wisata kombinasi lengkap antara daya tarik wisata alam, budaya, buatan dan wisata edukasi"
Karangrejo,Purworejo," bendungan tua, Rumah Lurah Glondong yang dibangun pada tahun 1913, makam pangeran dipokusumo, batu mitos bernama Watu Kendhit  Arung jeram sungai bogownto  ‘mie soun’ atau mie putih Kalisemo dikenal sebagai gudangnya pande besi atau pembuat senjata tradisional, alat pertanian, serta peralatan rumah tangga Jathilan Desa Ekowisata yang mulai berdiri sejak tahun 2009 yangmenawarkan poteni keindahan alam dan budaya masyarakat setempat"
Benowo,Purworejo,"Gunung Kunir, Curug Benowo, Curug Padusan, Curug Batur petilasan pangeran Benowo, yang merupakan raja dari kerajaan Pajang    Bajingan, Kripik Sintrong dan Regedek,  Kopi Benowo  kuda lumping, kuda kepang, ataupun jaran kepang Desa Benowo terdapat wisata religi, wisata alam, dan kesenian. Desa Benowo memiliki kekayaan hasil bumi yang melimpah. Desa Benowo memiliki makanan khas dan hasil karya kerajinan kreasi masyarakat "
Sukowuwuh,Purworejo,Bukit Watusalang  sirkut grasstrack motor trail      desa dimana terdapat empat batu yang terletak di atas bukit yang tersebar di empat sudut
Semawung,Purworejo,"area persawahan, sungai bogowonto dan sungai babrik Wisata Religi Masjid Tiban Jatisalam terapi batu kali  river tubing, tree track, spot mancing, wahan lumpur    Kuda lumping Desa wisata outbond seperti permainan motivasi permainan konsentrasi didalam ruang pendopo, permainan kekompakan dialam bebas, permainan disungai, dan permainan pohon/tree track"
Gunung Condong,Purworejo,"Curug Kyai Kate, hutan pinus,    trekking  Merti Desa    desa yang memiliki daya tarik berupa tebing dengan hutan pinus dan beberapa tumbuhan rimbun lainnya ini adalah curug yang cukup deras dengan aliran sungai"
Cepedak,Purworejo, Gunung Bengkuk   Track trail menjelajah hutan mendaki gunung  nasi belut dan menu ikan tawar    Desa Cepedak mempunyai komunitas trail yang bisa untuk menjelajah hutan. Komunitas tersebut kemudian mengembangkan usaha dengan berwisata alam mendaki Gunung Bengkuk dengan mengendarai trail
Jogoboyo,Purworejo,Sungai Bogowonto Kirab clorot  Gethek menyusuri sungai Kirab clorot    desa wisata air andalan di Purworejo
Gedangan,Purworejo,hutan mangrove   Kayak     Desa wisata dengan daya tarik mengitari hutan mangrove dengan kayak
Jatimalang,Purworejo,"Pantai Jatimalang, tambak lokal   wisata bersepeda     Desa wisata yang terletak di pesisir pantai selatan jawa"
Keburuan,Purworejo,"Pantai Keburuhan        Desa wisata ini memiliki keindahan pantai dengan muara sungai Jali dan bentang alam yang lepas , mampu melihat barisan Pegunungan Menoreh dan gunung- gunung lainnya, memandang di alur Sungai Jali akan terlihat indahnya Jembatan jalan Dandeles dengan latar Belakang gunung Sumbing dan Sindoro, ditepi muara dapat di lihat bangunan raksasa peninggalan Belanda sebagai Benteng alur Sungai jali"
Jetis,Purworejo,Pantai Jetis        Desa wisata dengan daya tarik utama pantai selatan jawa
Ketawang,Purworejo,Pantai Ketawang        Desa wisata dengan Keindahan Wisata Pantai Ketawang
Desa Siwarak,Purbalingga,"nuansa  perbukitan    Ruwat Bumi nasi Jagung, manisan papaya dan manisan cermai

  Wayang Golek, Kuda Lumping, Tek-Tek, Genjring "
Desa Wisata Serang,Purbalingga,"Alam    Ruat Bumi  sablon digital Tek – tek dan kuda lumping Desa Serang merupakan salah satu desa di wilayah Kecamatan Karangreja dengan topografi yang berbukit dengan luas wilayah 2.878,390 Ha yang meliputi Lahan usaha tani (Ladang/ kebun) seluas 1070.5 Ha, pemukiman 174.55 Ha,  dan hutan Negara 1630.5 Ha yang dihuni oleh 2.144 KK dengan jumlah penduduk 7,354 jiwa terdiri dari laki-laki 3,699 jiwa dan perempuan 3,655 jiwa. Mata pencaharian penduduk antara lain Petani 2.070 Jiwa, dengan ketinggian 650 – 1350 mdpl."
Panusupan,Purbalingga,"Potensi Alam untuk menjadi Wahana Wisata Budaya Solawatan Jawa, Kentongan, Tandak Lesung, Budaya Dayakan, Budaya Manongan, Budaya Lengger Lanang Seni Hadroh, Seni Kuda Kepang  Sarana Perkemahan, Tracking dan Outward Bound Petas Music Under Ground Kripik Daun Keji Gelang Pesona SEMI MANUNGGAL SEJATI "
Desa Wisata Karangbanjar,Purbalingga,"Pedesaan dan pegunungan Kothekan Lesung,Lengger, Kuda lumping    Ruwat Bhumi  Buntil Carangmanggang, Rengginang, Bintul, Wajik Ketan, Manco Wijen, Jenang Maduksirat, Ciwel Ketela/Ubi Kayu
 Kerajinan Bulu Mata Palsu, Kerajinan Rambut Palsu/Wig, Kerajinan Sanggul, Kerajinan Rambut Sambung, Kerajinan Sapu Hamada
 Kotehakan Lesung "
Bonang,Rembang, Pasujudan Sunan Bonang       desa wisata berbasis wisata religi berupa pasujudan sunan bonang
Babagan,Rembang,   Sentra batik tulis   Batik tulis  Desa dengan sentra batik tulis
Binangun,Rembang,Pantai Binangun         Desa wisata dengan pantai binangun sebagai daya tarik wisata
Punjulharjo,Rembang,Pantai Karang Jahe Perahu Kuno       Desa wisata yang memiliki daya tarik berupa pantai dan situs perahu kuno
Desa Wisata Tingkir Lor,Salatiga,"Udara sejuk dan hamparan sawah pertanian Atraksi Kesenian Drum Blek Home Industry Konveksi dan Makanan  Festival Kuliner Takjil Sambel Tumpang, Bakpia, Krupuk Krecek, Sayur Krecek, Gecok, Kue Cucur, Kripik Tempe, Kripik Talas  Konveksi (sprei, bed cover ), Mebel Kesenian Drumblek Desa ini ditetapkan sebagai Desa Wisata karena mayoritas penduduknya memiliki home industry dalam bidang konveksi dan makanan. Produksi mereka dipasarkan ke beberapa daerah di Kalimantan, Sulawesi, Bali, dan Sumatera. Mereka memproduksi sarung bantal,taplak,seprei,celana kolor,baby doll,baju-baju batik dan masih banyak lagi dengan harga yang sangat terjangkau sehingga tepat sebagai sumber grosir produk konveksi, selain itu disana juga ada UMKM perodusen sapu ijuk, tempe, gula kacang, aneka keripik, mebel dan lain-lain. "
Ngrawan (Desa Menari),Kabupaten Semarang,"lahan pertanian, Lereng telomoyo, Waduk Balong,  Prasasti Ngrawan, kuda lumping, ketoprak  Peternakan sapi perah, Produksi sabun susu Kerajinan anyaman mendong Festival Lereng Telomoyo olahan susu Kerajinan anyaman mendong Tari Kuda Lumping atau Kuda Kiprah, Topeng Ayu, Geculan Bocah, Warok, Eko Prawiro Suasana alam pedesaan yang masih jauh dari kebisingan dan hiruk pikuk kehidupan sosial  modern yang serba semrawut. Didalamnya hidup rukun warga masyarakat dalam rumpun keluarga dari keturunan Ki Tanuwijoyo yang sebagian besar masyaraktnya adalah petani dan peternak"
Desa Candi,Kabupaten Semarang,"Candi Gedongsongo  Tari Prajuritan dan Kuda Lumping Taman Bunga Celosia,Bunga Potong Kampung Kerajinan Anyaman Bambu dan Olahan   Makanan Festifal Budaya Ottela, Untir-untir,Ice Cream Ubi Ungu Kranjang Tempat Sayur dan Buah Prajuritan dan Kuda Lumping Desa Candi merupahkan Desa yang terletak di   lereng gunung Ungaran, wilayah Desa Candi yang   berdekatan dengan Candi Gedong Songo yang   menjadi Icon Wisata Jateng sebagai pendukung   Desa Wisata Candi"
Duren (Pandawa Mukti),Kabupaten Semarang,"Area Persawahan Tari Bambangan cakil, gambyong,jaran kepang/reog, jiduran, balap karung, obar-abir Kebun Bunga Krishant Terapi ikan Damar Sewu, Susuk Wangan, Kirab Budaya Wedang roti, Bubur Terik, Getuk Goreng, Gendar, Sawut, Nasi Oyek Bunga Krishant Tari Bambangan Cakil, Gambyong, Jaran Kepang, Jiduran, Balap Karung, Obar-abir Desa wisata di wilayah bandungan dengan potensi Sentra Bunga potong (krisan)  dan Kelengkeng Bandungan"
Gedangan,Kabupaten Semarang," Sumber Mas Kali Odo, jenis tanah garapan pertanian yang berupa perkebunan dan persawahan, Bumi Perkemahan situs peninggalan sejarah berupa susunan batu bata kuno , Pondok Pesantren yang didirikan oleh KH. Mahfudz Ridwan teman presiden RI ke 4 KH. Abdurrahman Wahid   Festival Panen Duku, Sadranan Bulan Ruwah Nasi Gudangan Kerajinan tangan dan kayu Reog, Rodat,  drumblek, maiyah, rebana Desa Gedangan mempunyai pasokan air bersih setiap saat selama musim kemarau, dengan adanya Sumber Mas Kali Odo. Pasokan air bersih tersebut berasal dari sumber mata air bawah tanah yang muncul ke permukaan pada saat musim kemarau"
Jembrak,Kabupaten Semarang,"Pemandian Kali Boma, Pemandian Gondang,Sunrise Tawang Gondang Seni Keprajuritan Turonggo Sakti, Punden Kyai Jembrak, Merti Desa  Sirkuit Motor Cross, Kolam Renang   Bokong ( Bolu Singkong ) Keranjang Pindang Turonggo Sakti Desa dengan potensi berupa pemandian Kali Boma dengan nuansa perdesaan yang memukau"
Jetis (Hawa Atis),Kabupaten Semarang,"Srengkel Hue, produk pertanian Ziarah Makam Mbah KH. Abdul Malik Warung Tepi Sawah II. Kampung Bordir dan Jahit  kripik jamur Ronce Bunga, dan Kaligrafi, Bordir dan Jahit Drumblek, Rebana Desa dengan potensi berupakebun bunga krisan,kebun salak serta pengrajin bordir "
Kebondowo,Kabupaten Semarang,"Rawa Pening   perbukitan yang dibuat sedemikian rupa menjadi sebuah tempat wisata yang nyaman dan sejuk   udang goreng, peyek wader, ikan bakar souvenir yang berbahan dari Enceng Gondok. Seni Kuda Lumping Desa wisata di pinggir rawa pening dengan landscape perbukitan indah"
Grojogan Klenting Kuning,Kabupaten Semarang,"grojogan/air terjun, dan hutan pinus Kesenian Reog Turonggo Aji, Opera Klenting Kuning  Sentra Buah Alpukat, dan Sayur mayur Sedekah Desa Bobor Centung Keranjang bambu, Kaca Befel, kaca hias Reog Turonggo Aji Desa wisata dengan tema wisata alam yang berupa air terjun dengan dinding tebing berwarna kuning dan air yang jernih"
Losari (bantir Hills),Kabupaten Semarang,        Desa wisata berbasis alam berupa ekowisata
Rogo Mulyo,Kabupaten Semarang,Batu Kembar Jatisari Makam Wali bayi Ragas Rogohito    Nasi Jagung Rogo-rege Noknik 
Sepakung,Kabupaten Semarang,"Gumuk Reco, Cemoro Sewu, AirTerjun Goa Semar, kali kulon, bukit klarasan  Reog, Rodat, Prajuritan Ayunan Langit, Jembatan Kepompong, Hallypad, sepeda gantung Bumi Perkemahan, petik sayur gantole digunug telomoyo dan merti dusun kripik pegangga, nasi jagung, kopi jangkung bandul bahan kayu pinus, dan lain-lain Reog, Rodat, Prajuritan Desa Wisata Sepakung yang berada di ketinggian 1200mdpl, menyuguhkan panorama-panorama alam yang sungguh mempesona. Salah satunya gumuk reco, gumuk reco berada di dusun kenongo, gumuk reco menyajikan panorama alam damparan sawah-sawah dan tebing-tebing tinggi. Selanjtnya digumuk reco juga ada wahana yang memicu adrenalin wisatawan yakni ayunan langit, dan jembatan kepompong, disertai sarang yang sangat indah.. cemoro sewu juga menyajikan panorama alam yang langsung menghadap ke rawa pening cemoro sewu berada di dusun jengkol. didalamya ada gardu pandang, sesuai dengan namanya cemoro sewu banyak di tumbuhi pohon cemara/pohon pinus. Airterjun Goasemar berada di dusun srandil air trjn dengan ketinggian 60-70 m, air langsung dari pegunungan telomoyo. Bumi perkemahan balon berada di dusun krajan sepakung kulon, dengan berbagai vasilitasnya"
Bener Kaki Merbabu,Kabupaten Semarang,"Tubing dan Pemandangan, Hutan Desa Nyadran PADEPOKAN THIBIL QULUB, MAKAM KYAI SLAMET / KYAI BENER      "
Kampung Susu,Kabupaten Semarang,"   Edukasi dan pengolaha hasil susu sapi segar  Olahan dari susu sapi segar Kerajinan tangan dari bambu Reog, Drumblek, Krawitan, Prajuritan, kuda Lumping dan rodat "
Gertas Lereng Kelir,Kabupaten Semarang,"Menikmati keindahan panorama alam pegunungan   NADRAK, SORENG, ORKES DANGDUT Puncak lereng kelir, Paidi Spot, Pos 3 “Icon LERENG KELIR”, Watu Ceper  Dandan Kali, Nyadran, Merti Dusun Likak Likuk (Donat Jowo), Nasi rentung kelir (Rendang Jantung), Nasi thewel, Sego lodri, nasi goreng jagung, Sego gepeng gereh bakar (sego neton), Kopi Serai Ayunan kayu  Nadrak “Rukun Santoso”, Soreng “Tunas Muda Putra Mardi Irama”, Orkes Dangdut “Lansia Nada” "
Desa Wisata Belajen (KAMPUNG PELANGI),Kabupaten Semarang,"Danau Rawa Pening Bejalen Kesenian Kuda Blarak Kali Werno Kampung Pelangi Perahu Pelangi  Aneka Olahan Ikan Air Tawar, Oseng Genjer, Batagor Ikan Betutu, Stik Ikan Betutu, Aneka Rempeyek Hasil Tangkapa Rawa dll.  Kuda Lumping, KudaBlarak, Karawitan, Dangdut (OrkrsMelayuTeranada), Rebana. "
Dewata Genting,Kabupaten Semarang,"wisata agro kelengkeng itoh gelar budaya ki dalem suto & ki dalem soro embung sentra budidaya jamur, salak organik festifal desa gentig. Festial reok welcome drink jenang candil suwek & cilembu, emping ketan. Kripik tales, kripik jamur tas pelepah pisang  "
Desa Wisata Kemetul,Kabupaten Semarang,"Eksplorasi Alam Humanisme Metrideso SBJT (Situs Bintang Jatuh ) Edukasi , Outbond  Gemblong Chotot Dan Teh  Kothok Slet Siluet Angguk dan Reog Sekar Kanthil "
Desa Wiata Gemawang,Kabupaten Semarang,"Wisata Gunung Watu Gemawang   Wisata Edukasi (membatik, membuat kerupuk, membuat keripik, mengolah kopi)  Singkong Beku dan Kopi Batik Gemawang Tarian Topeng Kelana Lanceng "
Desa Wisata Lerep,Kabupaten Semarang,"Curug Indrokilo, Puncak Bidadari, Waduk Mini Embung Sebligo Reog, tari tradisional Lerep yaitu Tari Caping Gasing, dan Kesenian Angklung  Wisata edukasi   kopi ceplus, lodek, dan bubur suweg, aneka kripik   "
Senjoyo Village,Kabupaten Semarang,"Sungai Senjoyo Reog, Drumblek Lapangan Pacuan Kuda  Kejurda Pordasi Bakwan jermbak  Reog  "
Kandri,Kota Semarang,"Sawah terasering, Sendang/mata air kempling, wayang tutur, trutuk, rebana Agro buah jambu kristal, omah pohung Edukasi Wisata Outbound Nyadran Kali Sego Kethek dan Krowotan Baik, sovenir kalung, miniatur patung dari kulit pohon Tari matirta suci, kemplimg DesaKandri ini juga memiliki karakteristikdari sebuah pananaman Desa Wisata tersebut. Dimana beberapa yang perlu kita ketahui tentang Desa Kandri ini adalah mengenai seni budaya tradisionalnya, dan juga potensi alamnya yang sampai saat ini masih dilestarikan"
Wonolopo,Kota Semarang,"Sawah terasering, Sendang/mata air Gamelan, Wayang kulit, Renbana Agro durian, Omah Pawening Jati Edukasi Wisata OutBound Kirab Budaya, Wonolopo Festival dan Festival Durian Sedo Gudangan dan Krowotan   Rebana, Karawitan, Sepeda Roda Satu  pandansari adalah desa di kecamatan Paguyangan, Brebes, Jawa Tengah, Indonesia.Desa ini berada di sekitar 14 kilometer arah timur dari pusat pemerintah kecamatan. Paguyangan Mayoritas penduduk desa Pandansari bekerja di sektor pertanian, yakni sayur mayur"
Nongkosawit,Kota Semarang,"Sawah terasering, Grojogan Air Mah Tukung Kesenian Kuda Lumping, Karawitan dan kuntulan Dam air kripik  Edukasi agro buah dan Kampung Tematik tape Kirab Pusaka Kyai Bende, Festival Pohon, Apitan Nasi Tedun/Taqir dan Trowodan jajan Pasar Kincir Bambu, Kalung gelang jenetri (rudraksa) Jaran kepang, Cokekan dan Kuntulan Desa Nongkosawit berasal dari kata ""Nongko Sak Sawit"" dalam bahasa Jawa.  Artinya dulu ada pohon nangka yang sebesar 1 pohon (sak sawit)"
Cepoko,Kota Semarang,"Sawah Terasering, Agro wisata durian, Jambu kristal Kesenian Kuda Lumping, Karawitan dan kuntulan  Edukasi  agro buah Kirab Budaya    Jaran kepang, Cokekan dan Kuntulan Kota wisata memiliki kebun buah baru bernama kebun buah cepoko. Kebun buah yang dilaunching Pemerintah Kota Semarang, Februari 2017 lalu yang ditandai dengan panen raya ini. Areal kebun buah cepoko itu melengkapi daftarr wisata desa di Kota Semarang , diantaranya desa kelapa sawit, desa wisata kandri, kamung jamalsari, desa sodomg, desa wonolopo, desa wisata dan lembah kalipancur."
Jatirejo,Kota Semarang,"Sawah terasering, Grojogan Air Mah Tukung Kesenian Kuda Lumping, Karawitan dan kuntulan Dam air kripik  Edukasi agro buah dan Kampung Tematik tape Kirab Pusaka Kyai Bende, Festival Pohon, Apitan Nasi Tedun/Taqir dan Trowodan jajan Pasar Kincir Bambu, Kalung gelang jenetri (rudraksa) Jaran kepang, Cokekan dan Kuntulan Desa Jatirejo dikenal dengan nama kampung ""KAKOLA"" kampung kolang - kaling sebagai sentra pembuatan kolang - kaling. "
Desa Wisata Jamalsari / Kedungpane,Kota Semarang,"Waduk Jatibarang  Kerajinan, Batik  kirab prosesi resik - resik waduk Nasi Jantung Raja, Bir Plethok Kerajinan dari barang bekas Kuda Lumping Nama Desa Jamalsari berasal dari tokoh masyarakat yang pertamakali tinggal di desa Jamalsari yang bernama Mbah Jamal"
Tugurejo,Kota Semarang,"Sawah terasering, Grojogan Air Mah Tukung, pantai, mangrove Kesenian Kuda Lumping, Karawitan dan kuntulan    Seafood  Blekok Potensi paling besar di desa wisata Tapak Tugurejo yaitu destinasi mangrove. Rimba bakau yang melapisi pantai utara Semarang (Jawa) itu cukup lebat dan bagus untuk jadikan destinasi wisata, dan sebagai sarana pendidikan anak -anak. Mangrove melindungi lingkungan dari abrasi laut dan mengakumulasi logam berat berasal dari air limbah industri."
Purwosari,Kota Semarang,"Sawah terasering Kesenian Kuda Lumping, Karawitan dan kuntulan Agro anggrek Edukasi Agro buah dan Kampung agro anggrek Anggrek Festival Nasi Tedun/Taqir dan Trowodan jajan Pasar Kalung gelang jenetri (rudraksa) Jaran kepang, Cokekan dan Kuntulan Desa Purwsari Mijen mempunyai potensi wisata selfie foto kekinian yang digandrungi kawula muda. Salah satunya adalah kebun Anggrek Sodong"
Desa Krebet Kecamatan Masaran,Sragen,"Sendang Emas Mbelik Ndlolo & Pasar Barongan Cublak-Cublak Suweng, Lapangan Maskarebet  Event budaya desa Krebet Kacang Oven Bantal Dakron, Kaca Ukir, Blangkon, Sangkar Burung
  "
Betisrejo,Sragen,"Sumber Air Panas Bayanan, Sumber Air Panas Kedung Pawon, Sumber Air Panas Gamping,  Coke'an, Wayang kulit, Drama Ande2 Lumut, Orek – Orek, juga terdapat kelompok kesenian Reog dan Jathilan, Makam Hariyo Bangsal (Joko Budug) Danau Buatan/ Waduk Gebyar (telah digunakan untuk rekreasi warga lokal, juga terdapat kolam pemancingan ikan yang dikelola warga untuk kegiatan lomba memancing maupun kuliner)    Trowolo   "
Kliwonan,Sragen,"   Sebagai kawasan wisata belanja dan pendidikan, Sebagai kawasan klaster batik utama, Sebagai kawasan kesenian tradisional kentongan, Sebagai salah satu pusat perekonomian di Sragen
   Tas Batik, Dompet Batik, Bantal Hias Batik, Selimut Batik Kentongan "
Kenep,Sukoharjo,"Kalimati (Embung yang ditumbuhi tanaman Enceng Gondok) Grebeg Bengawan Rumah Pohon dan Pemancingan Wisata Edukasi (Pembuatan Batik dan Jenang Krasikan), Wisata Religi (Masjid Darusallam), Agrowisata (Pertanian dan Perkebunan) Grebeg Bengawan dan Festival Enceng Gondok Berbunga Jenang, Krasikan, Botok Miri Batik  Kenep adalah Kelurahan yang berada di Kecamatan Sukoharjo, Kabupaten Sukoharjo, Provinsi Jawa Tengah.Sebagai Desa Wisata Kreatif, Kenep mempunyai banyak potensi wisata, namun yang telah banyak kegiatan wisatanya adalah wisata edukasi. Banyak lembaga/sekolah/perguruan tinggi yang telah melaksanakan outingclass di Desa Wisata Kreatif Kenep. Kegiatan edukasi yang dilaksanakan adalah belajar membatik celup ikat (jumputan), membatik canting, belajar membuat jenang, belajar menanam, memanen sayuran, dan memanen lele.Potensi wisata alam yang telah dirintis adalah wahana rumah pohon, yang diharapkan mampu menghidupkan Kalimati (embung yang dipenuhi tanaman enceng gondok) untuk dijadikan wisata air, pemancingan, gazebo apung, dll, namun tetap arif memanfaatkan enceng gondok yang ada. Sebab enceng gondok mempunyai daya tarik tersendiri untuk memajukan “wisata” Kenep, apalagi saat enceng gondok berbunga. Keberadaan enceng gondok ini menginspirasi Event tahunan “Festifal Enceng Gondok Berbunga” yang pelaksanaannya antara Bulan Oktober-November (Tahap perencanaan).Kampung Kedunggudel yang ada di Desa Wisata Kreatif Kenep banyak mengandung nilai historis, karena zaman dahulu Kedunggudel merupakan “kota bengawan”, terbukti masih adanya “tembo” (perahu/sampan) yang dimiliki penduduk. Inilah yang melatarbelakangi adanya “grebeg bengawan” (event tahunan yang pelaksanaanya masih dalam perencanaan) untuk memajukan Kenep sebagai Desa Wisata Kreatif. Selain itu keberadaan masjid tua (Masjid Darussalam) yang bersejarah (terhubung dengan sejarah Sunan Kalijaga, Kyai Lombok, Nyai Lombok,  dll) adalah aset wisata yang akan dimaksimalkan, apalagi dengan adanya banyak mitos dan cerita rakyat yang masih ada sampai sekarang."
Trangsan,Sukoharjo,"  Rotan  Grebeg Penjalin Rotan Trangsan Sambel Tumpang, Emping Mlinjo Rotan  Trangsan adalah desa di kecamatan Gatak, Sukoharjo, Jawa Tengah, Indonesia. Desa Trangsan terkenal dengan sentra kerajinan rotan terbesar di Kabupaten Sukoharjo. Selain kerajinan rotan, di desa ini juga banyak terdapat perajin emping melinjo. Disebelah timur Trangsan terdapat sebuah stasiun kereta yang bernama Stasiun Gawok yang terletak di perbatasan desa Blimbing."
Wirun,Sukoharjo,"Telaga Wirun (sebagai sarana pemancingan dan lomba dayung)  Sentra Industri Gamelan Terdapat Pura Candi Sono Sewu  Bakmi Jowo Gamelan, Genteng, Budidaya Tanaman Bonsai, Kain Jumputan  Desa Wisata Wirun menjadi salah satu desa wisata yang paling dikenal di Sukoharjo karena banyaknya potensi wisata yang dimiliki kawasan itu. Desa yang berada di Kecamatan Mojolaban itu pun memiliki akses yang mudah untuk dituju dari Kota Solo dan Karanganyar. Berjarak satu kilometer dari Kota Solo, Desa Wirun menjadi lokasi yang banyak dikunjungi wisatawan lokal hingga mancanegara.Salah satu potensi terbesar yang membuat Wirun dikenal secara global adalah pembuatan kerajinan gamelan oleh para warga desa. Selain gamelan, pembuatan kerajinan yang digeluti sebagai mata pencaharian warga setempat adalah kerajinan kain jumputan yang telah diekspor ke luar negeri, kerajinan wayang kertas, kerajinan keris, kerajinan genteng, kerajinan batik kayu, dan budidaya tanaman bonsai.Suguhan kesenian lokal seperti kethoprak, jathilan, dan karawitan menjadi daya tarik tersendiri untuk menyambut para turis asing yang berwisata ke Dewa Wirun. Di itu, para wisatawan yang didominasi warga negara Belanda biasanya datang untuk menetap selama satu hingga dua hari untuk belajar tentang pembuatan kerajinan seperti gamelan dan wayang di rumah-rumah penduduk. Karena lokasinya yang relatif cukup jauh dari kawasan kota Solo, rumah penduduk setempat pun banyak yang disewakan bagi warga asing dan wisatawan lokal pada masa-masa ramai kunjungan wisatawan. Penjualan gamelan menjadi potensi yang diunggulkan karena pemasarannya yang mencapai luar negeri."
Kampung Batik Kauman,Surakarta," BATIK (produksi dan penjualan), Arsitektur Rumah Jawa-Belanda, joglo, limasan    Ledre, dawet Batik  Kampung Batik Kauman juga menjadi pusat batik tertua di Kota Solo. Berlokasi tidak jauh dari jalan utama Slamet Riyadi dan Jalan Rajiman. Akses menuju Kampung Batik Kauman dapat ditempuh dengan bus Batik Solo Trans (BST) dari Stasiun Balapan. Menurut sejarah Kampung Batik Kauman dulunya adalah pemukiman kaum abdi dalem Keraton Kasunanan dengan mempertahankan tradisi dengan cara membatik. Dibandingkan dengan Laweyan, batik Kauman lebih menampilkan motif batik klasik yang didasarkan pada pakem atau standar keraton. Bisa dikatakan motif batik Kauman lebih merepresntasikan motif batik yang dikenakan di Keraton Kasunanan"
Kampung Batik Laweyan,Surakarta," BATIK (produksi dan penjualan), Masjid Laweyan, Makam Ki Ageng Henis, Arsitektur Rumah Laweyan, Langgar Merdeka, Ndalem Tjokrosumartan   selawenan Ledre, kue apem   Kampung Laweyan merupakan kawasan sentra industri batik yang unik, spesifik dan bersejarah. Berdasarkan sejarah yang ditulis oleh R.T. Mlayadipuro desa Laweyan (kini Kampoeng Laweyan) sudah ada sebelum munculnya kerajaan Pajang. Sejarah Laweyan barulah berarti setelah Kyai Ageng Hanis bermukim di desa Laweyan. Pada tahun 1546 M, tepatnya di sebelah utara pasar Laweyan (sekarang Kampung Lor Pasar Mati) dan membelakangi jalan yang menghubungkan antara Mentaok dengan desa Sala (sekarang jalan Dr. Rajiman). Kyai Ageng Henis adalah putra dari Kyai Ageng Sela yang merupakan keturunan raja Brawijaya V. Kyai Ageng Henis atau Kyai Ageng Laweyan adalah juga “manggala pinatuwaning nagara” Kerajaan Pajang semasa Jaka Tingkir menjadi Adipati Pajang pada tahun 1546 M"
Cempaka,Tegal Kabupaten,"Telaga ( Tuk Mudal ) Ruwat Bumi  BBC ( Bukit Bulak Cempaka ) Festival Kampoeng Bambu, Ruwat Bumi Serabi, Cukit, Cetot, Cangkang ndog Kotak Tisu, Gantungan Kunci Bambu, Nampan Bambu, Tiker  Bambu, Lukisan Siluet Bambu, Tempat Bolpoint Bambu. Amuba (alunan musik bambu ) Desa cempaka merupakan Desa Wisata yang berbasis pada kombinasi antara keunikan sumber daya alam dan aktivitas ekonomi kreatif sebagai daya tarik wisata utamanya. Terdapat daya tarik alam berupa telaga (Tuk Mudal), dimana di telaga ini dapat dilakukan aktivitas memancing sambil menikmati keindahan alam serta udara yang segar. Desa Wisata Cempaka terletak di sebelah barat Objek Wisata Guci, dan dapat ditempuh sekitar 20 menit dengan menggunakan mobil pribadi atau angkutan umum."
Cikura,Tegal Kabupaten,"Hutan Pinus Wisata Religi   Haul  Syech  Armia kue pasung   Terbang jawa  Desa Wisata Cikura merupakan desa Wisata Religi yang terletak di Desa Cikura Wilayah Kecamatan Bojong Kabupaten Tegal. Terdapat daya tarik berupa makam ulama besar Syech Armia yang dimakamkan di lingkungan pondok pesantren. Setiap malam jumat kliwon di Pondok Pesantren Attauhidiyah Cikura rutin menggelar pengajian  akbar dan istighosah kubro malam jumat kliwonan, yang dihadiri ribuan jamaah dari Jakarta, Cirebon, Banjarnegara, Pekalongan, Pemalang, Brebes dan tentunya dari Kab.Tegal"
